5.401030165289256256e+05,5.794107603305785451e+05
1.682954149253731302e+05,3.477248179104477749e+05
2.440692123893805256e+05,8.475180914454277372e+05
3.203188908554572263e+05,1.617132448377581022e+05
8.590071657142856857e+05,5.525621999999999534e+05
8.252943974358973792e+05,3.726533076923076878e+05
8.053713032159265131e+05,2.409560428790199221e+05
8.224476547231270233e+05,7.342249771986970445e+05
6.216100353773584357e+05,4.890450165094339754e+05
4.173321424050632631e+05,7.875187626582278172e+05
6.709290681818182347e+05,8.627657329545454122e+05
1.542482207792207773e+05,5.575684961038960610e+05
5.092163933518005651e+05,1.794632686980609433e+05
3.802892156250000116e+05,4.691418250000000116e+05
