5.275345138888888760e+05,5.801009201388888760e+05
1.702550086206896522e+05,3.611844626436781837e+05
2.395527753164556925e+05,8.474837943037974183e+05
3.160129327485380345e+05,1.637103216374269105e+05
8.619609812332439469e+05,5.831631581769436598e+05
8.577719146341463784e+05,3.795327439024390187e+05
7.674348062200957211e+05,2.805134521531100618e+05
8.095726235294117359e+05,7.404729960784313735e+05
6.592662923076923471e+05,5.581757538461538497e+05
4.106013303030303214e+05,7.942914090909090592e+05
6.699931612903225468e+05,8.643616480938416207e+05
1.499890193905817287e+05,5.606564404432133306e+05
5.118985993975903839e+05,1.704288283132530050e+05
3.995520180180180469e+05,4.453668363363363314e+05
