date,Windspeed,T_out
2016-01-11 17:00:00,6.666666666666667,6.483333333333333
2016-01-11 17:30:00,5.666666666666667,6.133333333333333
2016-01-11 18:00:00,5.166666666666667,5.916666666666667
2016-01-11 18:30:00,5.666666666666667,5.966666666666666
2016-01-11 19:00:00,6.0,6.0
2016-01-11 19:30:00,6.0,6.0
2016-01-11 20:00:00,6.0,6.0
2016-01-11 20:30:00,6.0,6.0
2016-01-11 21:00:00,6.0,5.933333333333334
2016-01-11 21:30:00,6.0,5.733333333333333
2016-01-11 22:00:00,6.166666666666667,5.6499999999999995
2016-01-11 22:30:00,6.666666666666667,5.8
2016-01-11 23:00:00,6.833333333333333,5.8
2016-01-11 23:30:00,6.333333333333333,5.5
2016-01-12 00:00:00,6.0,5.266666666666667
2016-01-12 00:30:00,6.0,5.166666666666667
2016-01-12 01:00:00,5.833333333333333,5.116666666666666
2016-01-12 01:30:00,5.333333333333333,5.166666666666667
2016-01-12 02:00:00,4.833333333333333,5.133333333333333
2016-01-12 02:30:00,4.333333333333333,4.933333333333334
2016-01-12 03:00:00,4.333333333333333,4.816666666666666
2016-01-12 03:30:00,5.333333333333333,4.866666666666666
2016-01-12 04:00:00,5.833333333333333,4.916666666666667
2016-01-12 04:30:00,5.333333333333333,4.966666666666667
2016-01-12 05:00:00,4.833333333333333,4.983333333333333
2016-01-12 05:30:00,4.333333333333333,4.933333333333334
2016-01-12 06:00:00,4.166666666666667,4.933333333333334
2016-01-12 06:30:00,4.666666666666667,5.033333333333333
2016-01-12 07:00:00,5.0,5.1
2016-01-12 07:30:00,5.0,5.1
2016-01-12 08:00:00,5.0,5.05
2016-01-12 08:30:00,5.0,4.8999999999999995
2016-01-12 09:00:00,5.0,4.883333333333333
2016-01-12 09:30:00,5.0,5.133333333333333
2016-01-12 10:00:00,5.0,5.483333333333333
2016-01-12 10:30:00,5.0,6.033333333333334
2016-01-12 11:00:00,5.333333333333333,6.5
2016-01-12 11:30:00,6.333333333333333,6.8
2016-01-12 12:00:00,7.0,7.083333333333333
2016-01-12 12:30:00,7.0,7.333333333333333
2016-01-12 13:00:00,7.166666666666667,7.416666666666667
2016-01-12 13:30:00,7.666666666666667,7.166666666666667
2016-01-12 14:00:00,7.5,6.983333333333333
2016-01-12 14:30:00,6.0,6.933333333333334
2016-01-12 15:00:00,4.833333333333333,6.8
2016-01-12 15:30:00,4.333333333333333,6.5
2016-01-12 16:00:00,4.5,6.333333333333333
2016-01-12 16:30:00,6.0,6.433333333333334
2016-01-12 17:00:00,7.0,6.316666666666666
2016-01-12 17:30:00,7.0,5.766666666666667
2016-01-12 18:00:00,6.833333333333333,5.3
2016-01-12 18:30:00,6.333333333333333,5.0
2016-01-12 19:00:00,6.166666666666667,4.75
2016-01-12 19:30:00,6.666666666666667,4.6000000000000005
2016-01-12 20:00:00,6.833333333333333,4.533333333333333
2016-01-12 20:30:00,6.333333333333333,4.633333333333333
2016-01-12 21:00:00,6.166666666666667,4.8
2016-01-12 21:30:00,6.666666666666667,5.1000000000000005
2016-01-12 22:00:00,6.833333333333333,5.333333333333333
2016-01-12 22:30:00,6.333333333333333,5.433333333333334
2016-01-12 23:00:00,6.333333333333333,5.583333333333333
2016-01-12 23:30:00,7.333333333333333,5.833333333333333
2016-01-13 00:00:00,8.0,5.883333333333333
2016-01-13 00:30:00,8.0,5.533333333333334
2016-01-13 01:00:00,8.0,5.3
2016-01-13 01:30:00,8.0,5.3
2016-01-13 02:00:00,8.0,5.333333333333333
2016-01-13 02:30:00,8.0,5.433333333333334
2016-01-13 03:00:00,8.0,5.483333333333333
2016-01-13 03:30:00,8.0,5.433333333333334
2016-01-13 04:00:00,8.0,5.366666666666667
2016-01-13 04:30:00,8.0,5.266666666666667
2016-01-13 05:00:00,7.833333333333333,5.166666666666667
2016-01-13 05:30:00,7.333333333333333,5.066666666666666
2016-01-13 06:00:00,6.833333333333333,5.016666666666667
2016-01-13 06:30:00,6.333333333333333,5.066666666666666
2016-01-13 07:00:00,5.833333333333333,5.083333333333333
2016-01-13 07:30:00,5.333333333333333,5.033333333333333
2016-01-13 08:00:00,4.833333333333333,5.0
2016-01-13 08:30:00,4.333333333333333,5.0
2016-01-13 09:00:00,4.166666666666667,5.0
2016-01-13 09:30:00,4.666666666666667,5.0
2016-01-13 10:00:00,5.0,5.083333333333333
2016-01-13 10:30:00,5.0,5.333333333333333
2016-01-13 11:00:00,5.166666666666667,5.583333333333333
2016-01-13 11:30:00,5.666666666666667,5.833333333333333
2016-01-13 12:00:00,5.833333333333333,5.916666666666667
2016-01-13 12:30:00,5.333333333333333,5.666666666666667
2016-01-13 13:00:00,5.0,5.733333333333333
